FID,ADM1_EN,WAGE GAP-PHP,WAGE GAP-CAD
0,Region I (Ilocos Region),674.00,16.85
1,Region II (Cagayan Valley),645.00,16.13
2,Region III (Central Luzon),657.00,16.43
3,Region IV-A (Calabarzon),581.00,14.53
4,Region V (Bicol Region),787.00,19.68
5,Region VI (Western Visayas),519.00,12.98
6,Region VII (Central Visayas),795.00,19.88
7,Region VIII (Eastern Visayas),459.00,11.48
8,Region IX (Zamboanga Peninsula),865.00,21.63
9,Region X (Northern Mindanao),797.00,19.93
10,Region XI (Davao Region),697.00,17.43
11,Region XII (Soccsksargen),768.00,19.20
12,National Capital Region (NCR),578.00,14.45
13,Cordillera Administrative Region (CAR),757.00,18.93
14,Region XIII (Caraga),N/A,N/A
15,Mimaropa Region,801.00,20.03
16,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),"1,692.00",42.30
